estimator,mean,std,samples
Bootstrap,0.3689156166470253,0.2086961399703558,10
ICE_k0,0.49324008373924044,0.4636064657063534,10
Chao,0.19844433148004864,0.1398820656740438,10
ICE,0.27957547551867995,0.1541577650822015,10
ICE-1,0.5237372245795804,0.42427305678801797,10
iChao,0.22533007811044237,0.14618422385050522,10
Chao_Bunge,0.34553866986136894,0.42338733398160583,5
Jackknife,0.3727671120226085,0.2555087154870109,10
PCG,0.5767958941820073,0.5172818642481646,8
Pnpmle,0.557397064956557,0.4447641120800068,10
Unpmle,0.35517022887276484,0.19338186935547133,7
Zelterman,0.2072104292163875,0.16244437241108617,10
