estimator,mean,std,samples
Bootstrap,0.38163764757589236,0.22025952936676196,20
Chao-up,0.23547233392271089,0.2539765693949045,20
ICE_k0,0.6406725346009395,0.6366354423559948,19
Chao,0.2973794824630779,0.2202720771024002,20
ICE,0.34057783756129045,0.2100021681724218,20
ICE-1,0.4668023244331011,0.3453658068039768,20
iChao,0.313029541351793,0.2103078968233919,20
Chao_Bunge,0.390158455135997,0.3073260963233453,15
Jackknife,0.39088354073196957,0.25660354339255387,20
PCG,0.5068892883116198,0.4481099621298046,17
Pnpmle,0.5373176857485182,0.4258453627778979,20
Unpmle,0.38205230173297205,0.23218747988056665,14
Zelterman,0.30638496415952315,0.2037529338644212,20
