estimator,mean,std,samples
Bootstrap,0.39143501015811333,0.24790414629437582,10
ICE_k0,0.7792863858941057,0.7750302768792637,9
Chao,0.39099752687225237,0.24870112557398452,10
ICE,0.39235727403624054,0.24773434584983486,10
ICE-1,0.3975919705287838,0.2288366322308143,10
iChao,0.3946264654566701,0.23010090440635225,10
Chao_Bunge,0.40778850153186486,0.22315738281278266,10
Jackknife,0.39261013890144414,0.2492359197744083,10
PCG,0.4243886850186793,0.39959199971601667,9
Pnpmle,0.49480021024498794,0.42584015764833794,10
Unpmle,0.39493049131285207,0.2683922454688199,7
Zelterman,0.3918444161981588,0.2058888222219065,10
