estimator,mean,std,samples
Bootstrap,0.1687266885059143,0.19232411165964888,10
ICE_k0,0.3520029165660092,0.5137564242317999,9
Chao,0.32417705488426757,0.4255006293170147,9
ICE,0.4115340752752514,0.5787114392841941,9
ICE-1,0.40149322712122837,0.4349189470183487,8
iChao,0.3585488800182826,0.49528896933394523,9
Chao_Bunge,0.2279795073015753,0.19040171305490206,7
Jackknife,0.41173153413801417,0.5353715865357501,10
PCG,0.4387732241139724,0.3946552637432953,6
Pnpmle,0.648495900779674,0.3482668057998871,8
Unpmle,0.31843807362317195,0.3178772651735453,6
Zelterman,0.3664201296323945,0.5181147902246073,9
