estimator,mean,std,samples
Bootstrap,0.17576844853077783,0.18880871514372194,20
Chao-up,0.11832686138096124,0.13015200014821893,19
ICE_k0,0.2881939298829863,0.4011433347695368,17
Chao,0.24896199723658288,0.3308069060947202,18
ICE,0.3007743773715734,0.43808987476253286,18
ICE-1,0.28132752199773453,0.3341034955574443,17
iChao,0.2639805670192642,0.3779143540139995,18
Chao_Bunge,0.23094163678472157,0.3531053892038392,16
Jackknife,0.2961899488668875,0.42063788553822795,19
PCG,0.25009407608158146,0.3316734166721568,13
Pnpmle,0.40510713310007274,0.36052914967069893,17
Unpmle,0.1947019721283117,0.2402246048340474,16
Zelterman,0.26832744088551896,0.39282714075262776,18
