estimator,mean,std,samples
Bootstrap,0.17940708354382573,0.19972378453088963,10
Chao-up,0.15109561612650285,0.1554478676379096,9
ICE_k0,0.20324903691662416,0.21405900940334946,8
Chao,0.16515701629272753,0.15948713397417624,9
ICE,0.1774104366407762,0.16046088834847497,9
ICE-1,0.16435795920098992,0.13191801877412876,9
iChao,0.15692553774502369,0.14434231342368822,9
Chao_Bunge,0.2244081871167699,0.4497246757622653,9
Jackknife,0.15081173160075068,0.11251541052953182,9
PCG,0.07843168575152604,0.10017728419460742,7
Pnpmle,0.17672906935782928,0.16290555671911364,9
Unpmle,0.11160172389745296,0.09936104886211222,10
Zelterman,0.15677774616442539,0.1250368186665195,9
