estimator,mean,std,samples
Bootstrap,0.30903987268201677,0.2296354379390026,10
ICE_k0,0.6107935306661432,0.6505219815701044,8
Chao,0.2629406111936243,0.33251888237374,10
ICE,0.2966509072740874,0.29896192343469663,10
ICE-1,0.5240046021049863,0.6109951021064416,10
iChao,0.27690620216961576,0.40742772262172866,10
Chao_Bunge,0.2732855334520935,0.25938329918878383,4
Jackknife,0.3306724199264285,0.44669839649814663,10
PCG,0.24288735822760965,0.2924779077948055,7
Pnpmle,0.2363219701614786,0.24896432578814987,9
Unpmle,0.3488822743752166,0.6389119405073285,7
Zelterman,0.25410671073029145,0.3900989595972419,10
