estimator,mean,std,samples
Bootstrap,0.33163993818004134,0.22834193812334078,20
Chao-up,0.230848703348642,0.20631781646974032,20
ICE_k0,0.7226685948583396,0.6863855743789167,17
Chao,0.3101959206281508,0.2810741523672691,20
ICE,0.3278550339806189,0.2512753933614635,20
ICE-1,0.44129159366375525,0.45362815317985405,20
iChao,0.3152168073017042,0.3175391670764783,20
Chao_Bunge,0.3748275754026265,0.3753892372303035,14
Jackknife,0.3315675895957823,0.3315828430897608,20
PCG,0.2976956914561203,0.24368663799818885,17
Pnpmle,0.29139487176954804,0.227238796715567,19
Unpmle,0.36380348050168165,0.4270088668920678,16
Zelterman,0.28444410480005844,0.3064209930061341,20
