estimator,mean,std,samples
Bootstrap,0.3667204822609217,0.23148359172868924,10
ICE_k0,0.8122053860506868,0.7133740178071482,9
Chao,0.37066734256831124,0.21159472375901606,10
ICE,0.36692959376868683,0.19642834237829315,10
ICE-1,0.3652333681833005,0.18165783918842604,10
iChao,0.36132348773652784,0.19980288939969146,10
Chao_Bunge,0.42502070393919134,0.42641129808370115,10
Jackknife,0.3305928513372841,0.18288825863310718,10
PCG,0.3366614502346768,0.21435976124219788,10
Pnpmle,0.33974893250728566,0.20247213088581933,10
Unpmle,0.3775910859987712,0.17692702621832576,9
Zelterman,0.32617792982549393,0.19559341401171584,10
