Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
3,org/apache/commons/collections4/bidimap/TreeBidiMap.java,1287,8,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
36,org/apache/commons/collections4/bidimap/TreeBidiMap.java,1404,9,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
198,org/apache/commons/collections4/bidimap/TreeBidiMap.java,780,18,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
302,org/apache/commons/collections4/bidimap/TreeBidiMap.java,1183,188,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
441,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,1246,20,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
604,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,874,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
709,org/apache/commons/collections4/map/MultiKeyMap.java,382,78,ReturnValsMutator,NO_COVERAGE,no,high,1 min,hash
791,org/apache/commons/collections4/map/MultiKeyMap.java,710,72,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
812,org/apache/commons/collections4/map/MultiKeyMap.java,322,45,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
818,org/apache/commons/collections4/map/MultiKeyMap.java,464,39,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1469,org/apache/commons/collections4/map/Flat3Map.java,166,108,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
1524,org/apache/commons/collections4/map/Flat3Map.java,398,33,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1551,org/apache/commons/collections4/map/Flat3Map.java,562,496,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1628,org/apache/commons/collections4/list/TreeList.java,839,54,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1632,org/apache/commons/collections4/list/TreeList.java,866,163,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1660,org/apache/commons/collections4/list/TreeList.java,687,25,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
1860,org/apache/commons/collections4/map/AbstractHashedMap.java,1306,43,VoidMethodCallMutator,NO_COVERAGE,yes,low,5 min,empty init method?
1870,org/apache/commons/collections4/map/AbstractHashedMap.java,255,85,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1879,org/apache/commons/collections4/map/AbstractHashedMap.java,830,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2334,org/apache/commons/collections4/list/AbstractLinkedList.java,646,18,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
2388,org/apache/commons/collections4/list/AbstractLinkedList.java,439,21,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2433,org/apache/commons/collections4/list/AbstractLinkedList.java,201,73,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2435,org/apache/commons/collections4/list/AbstractLinkedList.java,408,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
2774,org/apache/commons/collections4/map/StaticBucketMap.java,242,76,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2784,org/apache/commons/collections4/map/StaticBucketMap.java,419,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
2857,org/apache/commons/collections4/map/AbstractReferenceMap.java,239,12,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2879,org/apache/commons/collections4/map/AbstractReferenceMap.java,257,24,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2889,org/apache/commons/collections4/map/AbstractReferenceMap.java,209,4,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
2959,org/apache/commons/collections4/multiset/AbstractMapMultiSet.java,562,36,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
