Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
273,org/apache/commons/compress/compressors/bzip2/BlockSort.java,886,367,NegateConditionalsMutator,SURVIVED,no,high,5 min,m influences vswap ~(quicksort) runtime and positions where values will be swaped
318,org/apache/commons/compress/compressors/bzip2/BlockSort.java,623,104,MathMutator,SURVIVED,no,medium,5 min,influences duration of HAMMER loop
369,org/apache/commons/compress/compressors/bzip2/BlockSort.java,722,556,MathMutator,NO_COVERAGE,no,medium,5 min,influences duration of HAMMER loop
385,org/apache/commons/compress/compressors/bzip2/BlockSort.java,745,643,MathMutator,SURVIVED,no,medium,5 min,influences duration of HAMMER loop
537,org/apache/commons/compress/compressors/bzip2/BlockSort.java,1047,655,MathMutator,SURVIVED,no,medium,5 min,bit shift operation changes
552,org/apache/commons/compress/compressors/bzip2/BlockSort.java,937,71,NegateConditionalsMutator,SURVIVED,no,high,1 min,
553,org/apache/commons/compress/compressors/bzip2/BlockSort.java,940,107,NegateConditionalsMutator,SURVIVED,no,medium,5 min,char [] quadrant fields won't be set to 0
580,org/apache/commons/compress/compressors/bzip2/BlockSort.java,796,15,ConditionalsBoundaryMutator,SURVIVED,no,medium,5 min,changes returned value
788,org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,284,589,MathMutator,NO_COVERAGE,no,high,10 min,because change in int array class variable weight is observed
875,org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,778,87,NegateConditionalsMutator,SURVIVED,no,high,5 min,Decrement if ge influences Assignment of class variable later
889,org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,897,450,ConditionalsBoundaryMutator,SURVIVED,no,medium,5 min,changes duration of for-loop and therefore assignment of int array field
1019,org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,1061,50,ConditionalsBoundaryMutator,SURVIVED,no,medium,1 min,
1118,org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java,653,33,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
1152,org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java,1163,98,MathMutator,NO_COVERAGE,no,high,1 min,
1486,org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java,488,43,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
1567,org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,352,51,MathMutator,SURVIVED,no,high,1 min,changes value of class variable
1631,org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,633,237,VoidMethodCallMutator,SURVIVED,no,high,1 min,removed method is important
1750,org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,163,47,MathMutator,SURVIVED,no,high,1 min,
1893,org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,825,7,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,changes setting of class variables
1911,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,933,20,MathMutator,NO_COVERAGE,no,high,1 min,
1922,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,943,139,MathMutator,NO_COVERAGE,no,high,1 min,
1929,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,934,45,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1936,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,946,151,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1998,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,788,40,VoidMethodCallMutator,SURVIVED,no,medium,1 min,count method not found by IntelliJ
2091,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,1122,15,MathMutator,SURVIVED,no,high,1 min,
2094,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,1131,43,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
2118,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,396,42,NegateConditionalsMutator,SURVIVED,no,high,1 min,
2191,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,1088,11,NegateConditionalsMutator,SURVIVED,no,medium,1 min,"""count()"" method not found by IntelliJ"
2198,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,538,132,MathMutator,SURVIVED,no,high,1 min,
2293,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,937,215,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
2348,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,1054,10,NegateConditionalsMutator,SURVIVED,no,high,1 min,
2351,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,1105,13,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,x+=cnt when cnt is 0 
2361,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,412,10,NegateConditionalsMutator,NO_COVERAGE,no,medium,1 min,buffer won't be read
2392,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,783,152,MathMutator,SURVIVED,no,high,1 min,
2395,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,791,207,MathMutator,SURVIVED,no,high,1 min,
2455,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,697,346,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
2572,org/apache/commons/compress/archivers/sevenz/SevenZFile.java,1143,79,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2913,org/apache/commons/compress/archivers/tar/TarArchiveEntry.java,1130,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
