Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
6,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,568,14,NegateConditionalsMutator,NO_COVERAGE,no,high,15 min,
9,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,582,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,since lexState is external
12,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,662,150,ConditionalsBoundaryMutator,SURVIVED,yes,medium,15 min,similar to mutant 91
49,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,691,299,NegateConditionalsMutator,SURVIVED,no,high,5 min,
57,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,737,505,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,throws unexpected TokenMgrError.
65,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,724,440,VoidMethodCallMutator,NO_COVERAGE,no,high,3 min,it has some implementation
67,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,764,20,IncrementsMutator,NO_COVERAGE,no,high,2 min,"Since the start,end arguments are external to the method"
82,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,185,134,ConditionalsBoundaryMutator,SURVIVED,yes,medium,15 min,similar to mutant 91
91,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,277,510,ConditionalsBoundaryMutator,NO_COVERAGE,yes,medium,10 min,"> to >=, since kind is assigned to 27 in the next line 278., and line 279 does not comes under if loop( line 277)"
123,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,297,597,MathMutator,NO_COVERAGE,no,high,3 min,Might assign value at different position of array
124,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,300,607,MathMutator,NO_COVERAGE,no,high,3 min,
131,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,339,758,MathMutator,NO_COVERAGE,no,high,10 min,might effect the next switch cases
138,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,158,36,NegateConditionalsMutator,SURVIVED,no,high,3 min,
191,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,348,788,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,it can effect line 382
193,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,355,821,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,it can effect line 382
221,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,292,573,VoidMethodCallMutator,NO_COVERAGE,no,high,3 min,Method has some implementation
261,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,431,124,NegateConditionalsMutator,NO_COVERAGE,no,high,3 min,
273,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,68,30,ReturnValsMutator,SURVIVED,no,high,2 min,returns unexpected values
275,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,72,45,ReturnValsMutator,SURVIVED,no,high,2 min,Since curChar is external to the function
281,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,85,97,ReturnValsMutator,SURVIVED,no,high,5 min,return value mutated
286,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,397,7,ReturnValsMutator,SURVIVED,no,high,2 min,
289,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,110,78,MathMutator,SURVIVED,no,high,3 min,
303,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,497,45,ReturnValsMutator,SURVIVED,no,high,2 min,
325,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,36,72,MathMutator,NO_COVERAGE,no,high,5 min,"since pos, active0 are external to function"
339,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,43,102,ReturnValsMutator,NO_COVERAGE,no,high,2 min,Return value mutated
340,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,44,107,ReturnValsMutator,NO_COVERAGE,no,high,2 min,
344,org/apache/commons/configuration2/plist/PropertyListParser.java,394,116,IncrementsMutator,NO_COVERAGE,no,high,4 min,since jj_lal[] is external to the function
357,org/apache/commons/configuration2/plist/PropertyListParser.java,442,110,IncrementsMutator,NO_COVERAGE,no,high,3 min,
386,org/apache/commons/configuration2/plist/PropertyListParser.java,431,41,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,5 min,"jj_la1[] is external to the function, can be unit tested by positional values of array."
395,org/apache/commons/configuration2/plist/PropertyListParser.java,452,50,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,2 min,Out of bound error
397,org/apache/commons/configuration2/plist/PropertyListParser.java,452,58,IncrementsMutator,NO_COVERAGE,no,high,2 min,
399,org/apache/commons/configuration2/plist/PropertyListParser.java,452,50,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,similar to mutant 519
438,org/apache/commons/configuration2/plist/PropertyListParser.java,515,14,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,"token and index are external to the function, so killable"
439,org/apache/commons/configuration2/plist/PropertyListParser.java,516,19,NegateConditionalsMutator,NO_COVERAGE,no,high,3 min,"token and index are external to the function, so killable"
454,org/apache/commons/configuration2/plist/PropertyListParser.java,342,13,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
508,org/apache/commons/configuration2/plist/PropertyListParser.java,547,104,NegateConditionalsMutator,NO_COVERAGE,no,high,15 min,it effects line 552
513,org/apache/commons/configuration2/plist/PropertyListParser.java,467,94,ConditionalsBoundaryMutator,SURVIVED,no,low,15 min,
519,org/apache/commons/configuration2/plist/PropertyListParser.java,464,75,NegateConditionalsMutator,SURVIVED,no,high,10 min,Out of bound error
521,org/apache/commons/configuration2/plist/PropertyListParser.java,467,94,NegateConditionalsMutator,SURVIVED,no,high,3 min,c.first is updated
700,org/apache/commons/configuration2/AbstractConfiguration.java,1146,10,NegateConditionalsMutator,SURVIVED,no,low,2 min,
826,org/apache/commons/configuration2/convert/PropertyConverter.java,161,232,ReturnValsMutator,NO_COVERAGE,no,low,10 min,
974,org/apache/commons/configuration2/plist/SimpleCharStream.java,83,237,MathMutator,NO_COVERAGE,no,high,2 min,
980,org/apache/commons/configuration2/plist/SimpleCharStream.java,57,108,VoidMethodCallMutator,NO_COVERAGE,no,high,2 min,
981,org/apache/commons/configuration2/plist/SimpleCharStream.java,58,122,VoidMethodCallMutator,NO_COVERAGE,no,high,3 min,
1022,org/apache/commons/configuration2/plist/SimpleCharStream.java,409,61,MathMutator,NO_COVERAGE,no,high,2 min,data is copied at different positions of the array
1023,org/apache/commons/configuration2/plist/SimpleCharStream.java,409,63,MathMutator,NO_COVERAGE,no,high,1 min,similar to mutant 1022
1031,org/apache/commons/configuration2/plist/SimpleCharStream.java,386,8,VoidMethodCallMutator,NO_COVERAGE,no,high,5 min,Method has some implementation
1041,org/apache/commons/configuration2/plist/SimpleCharStream.java,287,27,NegateConditionalsMutator,NO_COVERAGE,no,high,3 min,since buffer and buffersize are external to the function
1047,org/apache/commons/configuration2/plist/SimpleCharStream.java,172,109,MathMutator,NO_COVERAGE,no,high,3 min,Since char c is external to the function
1051,org/apache/commons/configuration2/plist/SimpleCharStream.java,154,46,NegateConditionalsMutator,SURVIVED,no,high,3 min,
1067,org/apache/commons/configuration2/plist/SimpleCharStream.java,437,40,MathMutator,NO_COVERAGE,no,high,2 min,
1072,org/apache/commons/configuration2/plist/SimpleCharStream.java,446,108,MathMutator,NO_COVERAGE,no,high,3 min,It effects line 455
1080,org/apache/commons/configuration2/plist/SimpleCharStream.java,452,132,NegateConditionalsMutator,NO_COVERAGE,no,high,2 min,
1081,org/apache/commons/configuration2/plist/SimpleCharStream.java,457,156,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,"bufline[] array is external to the function, it gets effected, can be unit tested with that array."
1254,org/apache/commons/configuration2/DynamicCombinedConfiguration.java,120,39,VoidMethodCallMutator,SURVIVED,no,high,3 min,Method has some implementation
