Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
6,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,568,14,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
9,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,582,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
12,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,662,150,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,jjmatchedKind is already = 6
49,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,691,299,NegateConditionalsMutator,SURVIVED,no,high,1 min,
57,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,737,505,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
65,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,724,440,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,read()
67,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,764,20,IncrementsMutator,NO_COVERAGE,no,high,1 min,
82,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,185,134,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,kind is already = 27
91,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,277,510,ConditionalsBoundaryMutator,NO_COVERAGE,yes,high,1 min,kind is already = 27
123,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,297,597,MathMutator,NO_COVERAGE,no,high,1 min,
124,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,300,607,MathMutator,NO_COVERAGE,no,high,1 min,
131,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,339,758,MathMutator,NO_COVERAGE,no,high,1 min,
138,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,158,36,NegateConditionalsMutator,SURVIVED,no,high,1 min,
191,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,348,788,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
193,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,355,821,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
221,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,292,573,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
261,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,431,124,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
273,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,68,30,ReturnValsMutator,SURVIVED,no,high,1 min,
275,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,72,45,ReturnValsMutator,SURVIVED,no,high,1 min,
281,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,85,97,ReturnValsMutator,SURVIVED,no,high,1 min,
286,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,397,7,ReturnValsMutator,SURVIVED,no,high,1 min,
289,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,110,78,MathMutator,SURVIVED,no,high,1 min,
303,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,497,45,ReturnValsMutator,SURVIVED,no,high,1 min,
325,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,36,72,MathMutator,NO_COVERAGE,no,high,1 min,
339,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,43,102,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
340,org/apache/commons/configuration2/plist/PropertyListParserTokenManager.java,44,107,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
344,org/apache/commons/configuration2/plist/PropertyListParser.java,394,116,IncrementsMutator,NO_COVERAGE,no,high,1 min,
357,org/apache/commons/configuration2/plist/PropertyListParser.java,442,110,IncrementsMutator,NO_COVERAGE,no,high,1 min,
