Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
35,org/apache/commons/csv/CSVFormat.java,831,130,ReturnValsMutator,NO_COVERAGE,no,high,4 min,The escapeCharacter which is outside the function; so one can plausibly modify the escapeCharacter
37,org/apache/commons/csv/CSVFormat.java,838,158,ReturnValsMutator,NO_COVERAGE,no,high,2 min,Similar to mutant 35
43,org/apache/commons/csv/CSVFormat.java,857,235,ReturnValsMutator,NO_COVERAGE,no,high,5 min,Similar to mutant 35
68,org/apache/commons/csv/CSVFormat.java,1061,13,MathMutator,SURVIVED,yes,high,5min,Mutation from * to / has no effect when the operand is 1
69,org/apache/commons/csv/CSVFormat.java,1061,16,MathMutator,SURVIVED,no ,high,3 min,"Return value(int) of hash code change is observed, when it is tested against an object(Default)."
70,org/apache/commons/csv/CSVFormat.java,1062,22,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
71,org/apache/commons/csv/CSVFormat.java,1062,35,MathMutator,SURVIVED,yes,high,5 min,"can be killable, where quotemode is external to the function "
72,org/apache/commons/csv/CSVFormat.java,1063,41,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
73,org/apache/commons/csv/CSVFormat.java,1063,54,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
74,org/apache/commons/csv/CSVFormat.java,1064,60,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
75,org/apache/commons/csv/CSVFormat.java,1064,73,MathMutator,SURVIVED,yes,high,5 min,Similar to mutant 71
76,org/apache/commons/csv/CSVFormat.java,1065,79,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
77,org/apache/commons/csv/CSVFormat.java,1065,92,MathMutator,SURVIVED,yes,high,5 min,Similar to mutant 71
78,org/apache/commons/csv/CSVFormat.java,1066,98,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
79,org/apache/commons/csv/CSVFormat.java,1066,111,MathMutator,SURVIVED,yes,high,5 min,Similar to mutant 71
80,org/apache/commons/csv/CSVFormat.java,1067,117,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
81,org/apache/commons/csv/CSVFormat.java,1067,128,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
82,org/apache/commons/csv/CSVFormat.java,1068,134,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
83,org/apache/commons/csv/CSVFormat.java,1068,145,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
84,org/apache/commons/csv/CSVFormat.java,1069,151,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
85,org/apache/commons/csv/CSVFormat.java,1069,162,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
86,org/apache/commons/csv/CSVFormat.java,1070,168,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
87,org/apache/commons/csv/CSVFormat.java,1070,179,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
88,org/apache/commons/csv/CSVFormat.java,1071,185,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
89,org/apache/commons/csv/CSVFormat.java,1071,198,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
90,org/apache/commons/csv/CSVFormat.java,1072,204,MathMutator,SURVIVED,no,high,3 min,Similar to mutant 69
91,org/apache/commons/csv/CSVFormat.java,1072,208,MathMutator,SURVIVED,yes,high,5 min,Similar to mutant 71
93,org/apache/commons/csv/CSVFormat.java,1063,44,NegateConditionalsMutator,SURVIVED,no,medium,5 min,change in return value of hashcode is observed
97,org/apache/commons/csv/CSVFormat.java,1067,120,NegateConditionalsMutator,SURVIVED,no,medium,3 min,change in return value of hashcode is observed
98,org/apache/commons/csv/CSVFormat.java,1068,137,NegateConditionalsMutator,SURVIVED,no,medium,3 min,change in return value of hashcode is observed
99,org/apache/commons/csv/CSVFormat.java,1069,154,NegateConditionalsMutator,SURVIVED,no ,medium,3 min,change in return value of hashcode is observed
100,org/apache/commons/csv/CSVFormat.java,1070,171,NegateConditionalsMutator,SURVIVED,no ,medium,3 min,change in return value of hashcode is observed
101,org/apache/commons/csv/CSVFormat.java,1071,188,NegateConditionalsMutator,SURVIVED,no,medium,3 min,change in return value of hashcode is observed
102,org/apache/commons/csv/CSVFormat.java,1073,213,ReturnValsMutator,SURVIVED,no,medium,3 min,"Return value changed from integer > 0 to 0, change is observed"
122,org/apache/commons/csv/CSVFormat.java,1259,30,NegateConditionalsMutator,NO_COVERAGE,no,high,15 min,Mutation doesn’t let elseif loop gets executed.
123,org/apache/commons/csv/CSVFormat.java,1261,43,NegateConditionalsMutator,NO_COVERAGE,no,low ,3 min,Logically similar to mutant 122
