Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
35,org/apache/commons/csv/CSVFormat.java,831,130,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
37,org/apache/commons/csv/CSVFormat.java,838,158,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
43,org/apache/commons/csv/CSVFormat.java,857,235,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
68,org/apache/commons/csv/CSVFormat.java,1061,13,MathMutator,SURVIVED,yes,high,1 min,hashcode math mutator  but 31*1 and 31/1 are the same.
69,org/apache/commons/csv/CSVFormat.java,1061,16,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
70,org/apache/commons/csv/CSVFormat.java,1062,22,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
71,org/apache/commons/csv/CSVFormat.java,1062,35,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
72,org/apache/commons/csv/CSVFormat.java,1063,41,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
73,org/apache/commons/csv/CSVFormat.java,1063,54,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
74,org/apache/commons/csv/CSVFormat.java,1064,60,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
75,org/apache/commons/csv/CSVFormat.java,1064,73,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
76,org/apache/commons/csv/CSVFormat.java,1065,79,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
77,org/apache/commons/csv/CSVFormat.java,1065,92,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
78,org/apache/commons/csv/CSVFormat.java,1066,98,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
79,org/apache/commons/csv/CSVFormat.java,1066,111,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
80,org/apache/commons/csv/CSVFormat.java,1067,117,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
81,org/apache/commons/csv/CSVFormat.java,1067,128,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
82,org/apache/commons/csv/CSVFormat.java,1068,134,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
83,org/apache/commons/csv/CSVFormat.java,1068,145,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
84,org/apache/commons/csv/CSVFormat.java,1069,151,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
85,org/apache/commons/csv/CSVFormat.java,1069,162,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
86,org/apache/commons/csv/CSVFormat.java,1070,168,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
87,org/apache/commons/csv/CSVFormat.java,1070,179,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
88,org/apache/commons/csv/CSVFormat.java,1071,185,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
89,org/apache/commons/csv/CSVFormat.java,1071,198,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
90,org/apache/commons/csv/CSVFormat.java,1072,204,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
91,org/apache/commons/csv/CSVFormat.java,1072,208,MathMutator,SURVIVED,no,high,1 min,hashcode math mutator
93,org/apache/commons/csv/CSVFormat.java,1063,44,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
97,org/apache/commons/csv/CSVFormat.java,1067,120,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
98,org/apache/commons/csv/CSVFormat.java,1068,137,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
99,org/apache/commons/csv/CSVFormat.java,1069,154,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
100,org/apache/commons/csv/CSVFormat.java,1070,171,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
101,org/apache/commons/csv/CSVFormat.java,1071,188,NegateConditionalsMutator,SURVIVED,no,high,1 min,hashcode negate conditional
102,org/apache/commons/csv/CSVFormat.java,1073,213,ReturnValsMutator,SURVIVED,no,high,1 min,return value of hash function always either 1 or 0.
122,org/apache/commons/csv/CSVFormat.java,1259,30,NegateConditionalsMutator,NO_COVERAGE,no,medium,1 min,not sure about difference of behavior of IOUtils.copy() and printwithEscapes().
123,org/apache/commons/csv/CSVFormat.java,1261,43,NegateConditionalsMutator,NO_COVERAGE,no,medium,1 min,typecasting when it's NOT the type->what happens?
125,org/apache/commons/csv/CSVFormat.java,1260,36,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
147,org/apache/commons/csv/CSVFormat.java,1379,63,ConditionalsBoundaryMutator,NO_COVERAGE,yes,medium,1 min,when pos==start  nothing gets appended  BUT the builder is not necessarily empty and would be set to 0 then
148,org/apache/commons/csv/CSVFormat.java,1398,129,ConditionalsBoundaryMutator,NO_COVERAGE,yes,high,1 min,nothing gets appended when pos==start
149,org/apache/commons/csv/CSVFormat.java,1394,122,IncrementsMutator,NO_COVERAGE,no,high,1 min,
150,org/apache/commons/csv/CSVFormat.java,1392,117,MathMutator,NO_COVERAGE,no,high,1 min,
151,org/apache/commons/csv/CSVFormat.java,1375,36,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
152,org/apache/commons/csv/CSVFormat.java,1377,48,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,
153,org/apache/commons/csv/CSVFormat.java,1377,51,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
154,org/apache/commons/csv/CSVFormat.java,1377,54,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,same as mutant 152  153
155,org/apache/commons/csv/CSVFormat.java,1377,57,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,same as mutant 152  153  154
156,org/apache/commons/csv/CSVFormat.java,1379,63,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,similar to mutant 159
157,org/apache/commons/csv/CSVFormat.java,1383,83,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
158,org/apache/commons/csv/CSVFormat.java,1385,94,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
159,org/apache/commons/csv/CSVFormat.java,1398,129,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,for pos>start: StringIndexOutOfBoundsException  equivalent for single case pos==start
160,org/apache/commons/csv/CSVFormat.java,1381,77,VoidMethodCallMutator,NO_COVERAGE,no,high,5 min,without resetting builder  you won't get the correct substring
162,org/apache/commons/csv/CSVFormat.java,1343,60,ConditionalsBoundaryMutator,SURVIVED,yes,medium,2 min,sd: Nothing gets appended when positions are the same
163,org/apache/commons/csv/CSVFormat.java,1361,121,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,If nothing gets appended when the positions are same  and the object as such is not changed  then it is equivalent. 
