Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
2,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,64,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
3,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,72,7,ReturnValsMutator,SURVIVED,no,high,1 min,
16,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,115,21,ReturnValsMutator,NO_COVERAGE,no,high,2 min,Return value mutated.
91,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,442,13,NegateConditionalsMutator,NO_COVERAGE,no,high,10 min,
101,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,474,7,ReturnValsMutator,SURVIVED,no,high,1 min,
131,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,574,7,ReturnValsMutator,SURVIVED,no,high,1 min,
180,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,758,7,ReturnValsMutator,SURVIVED,no,high,1 min,
223,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,936,24,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
279,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1131,17,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
315,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1221,16,VoidMethodCallMutator,NO_COVERAGE,no,high,2 min,The method has some implementation
319,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1269,7,ReturnValsMutator,SURVIVED,no,high,1 min,
323,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1282,20,ReturnValsMutator,NO_COVERAGE,no,high,2 min,Return value mutated
337,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1329,7,ReturnValsMutator,SURVIVED,no,high,1 min,Simillar to 364
360,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1401,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
364,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1419,7,ReturnValsMutator,SURVIVED,no,high,2 min,Return value mutated
388,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1499,7,ReturnValsMutator,SURVIVED,no,high,2 min,
404,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1552,20,ReturnValsMutator,NO_COVERAGE,no,high,2 min,
