Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
2,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,64,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
3,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,72,7,ReturnValsMutator,SURVIVED,no,high,1 min,
16,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,115,21,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
91,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,442,13,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
101,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,474,7,ReturnValsMutator,SURVIVED,no,high,1 min,
131,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,574,7,ReturnValsMutator,SURVIVED,no,high,1 min,
180,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,758,7,ReturnValsMutator,SURVIVED,no,high,1 min,
223,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,936,24,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
279,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1131,17,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
315,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1221,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
319,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1269,7,ReturnValsMutator,SURVIVED,no,high,1 min,
323,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1282,20,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
337,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1329,7,ReturnValsMutator,SURVIVED,no,high,1 min,
360,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1401,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
364,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1419,7,ReturnValsMutator,SURVIVED,no,high,1 min,
388,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1499,7,ReturnValsMutator,SURVIVED,no,high,1 min,
404,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1552,20,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
411,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1571,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
417,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1591,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
455,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1725,20,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
504,org/apache/commons/dbcp2/DelegatingDatabaseMetaData.java,1886,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
522,org/apache/commons/dbcp2/DelegatingResultSet.java,138,8,ReturnValsMutator,SURVIVED,no,high,1 min,
592,org/apache/commons/dbcp2/DelegatingResultSet.java,388,8,ReturnValsMutator,SURVIVED,no,high,1 min,
611,org/apache/commons/dbcp2/DelegatingResultSet.java,451,21,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
612,org/apache/commons/dbcp2/DelegatingResultSet.java,450,17,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
623,org/apache/commons/dbcp2/DelegatingResultSet.java,491,22,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
663,org/apache/commons/dbcp2/DelegatingResultSet.java,635,17,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
728,org/apache/commons/dbcp2/DelegatingResultSet.java,876,21,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
760,org/apache/commons/dbcp2/DelegatingResultSet.java,960,18,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
769,org/apache/commons/dbcp2/DelegatingResultSet.java,990,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
824,org/apache/commons/dbcp2/DelegatingResultSet.java,1173,20,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
825,org/apache/commons/dbcp2/DelegatingResultSet.java,1172,16,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
887,org/apache/commons/dbcp2/DelegatingResultSet.java,1413,19,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
891,org/apache/commons/dbcp2/DelegatingResultSet.java,1460,20,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
923,org/apache/commons/dbcp2/DelegatingResultSet.java,1580,19,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
935,org/apache/commons/dbcp2/DelegatingResultSet.java,1652,19,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
1001,org/apache/commons/dbcp2/DelegatingResultSet.java,1964,19,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
1087,org/apache/commons/dbcp2/DelegatingCallableStatement.java,215,4,VoidMethodCallMutator,SURVIVED,no,high,1 min,missing checkOpen()
1090,org/apache/commons/dbcp2/DelegatingCallableStatement.java,231,25,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
1122,org/apache/commons/dbcp2/DelegatingCallableStatement.java,320,12,ReturnValsMutator,SURVIVED,no,high,1 min,
1142,org/apache/commons/dbcp2/DelegatingCallableStatement.java,375,12,ReturnValsMutator,SURVIVED,no,high,1 min,
1149,org/apache/commons/dbcp2/DelegatingCallableStatement.java,388,21,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing handleException()
1191,org/apache/commons/dbcp2/DelegatingCallableStatement.java,510,26,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
1231,org/apache/commons/dbcp2/DelegatingCallableStatement.java,620,25,ReturnValsMutator,NO_COVERAGE,no,high,1 min,thrown RunTimeException instead of return null
1240,org/apache/commons/dbcp2/DelegatingCallableStatement.java,637,4,VoidMethodCallMutator,SURVIVED,no,high,1 min,missing checkOpen()
