Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
190,org/apache/commons/imaging/color/ColorConversions.java,375,33,NegateConditionalsMutator,SURVIVED,no,high,1 min,
851,org/apache/commons/imaging/common/ByteConversions.java,358,7,MathMutator,SURVIVED,no,high,1 min,
1115,org/apache/commons/imaging/formats/jpeg/decoder/Dct.java,276,101,MathMutator,SURVIVED,no,high,1 min,
1457,org/apache/commons/imaging/formats/gif/GifImageParser.java,139,117,MathMutator,NO_COVERAGE,no,high,1 min,
1517,org/apache/commons/imaging/formats/gif/GifImageParser.java,822,235,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
1954,org/apache/commons/imaging/formats/pcx/PcxWriter.java,144,151,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
1993,org/apache/commons/imaging/formats/pcx/PcxWriter.java,134,101,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
2215,org/apache/commons/imaging/formats/ico/IcoImageParser.java,65,4,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return null instead of string?
2346,org/apache/commons/imaging/formats/ico/IcoImageParser.java,671,181,MathMutator,SURVIVED,no,high,1 min,
2531,org/apache/commons/imaging/formats/xpm/XpmImageParser.java,267,5,VoidMethodCallMutator,SURVIVED,no,medium,1 min,stringbuilder.setLength(0) -> StringBuilder.java doesn't have the impl. ?
2996,org/apache/commons/imaging/formats/jpeg/decoder/JpegDecoder.java,417,25,MathMutator,SURVIVED,no,high,1 min,
3368,org/apache/commons/imaging/palette/PaletteFactory.java,250,118,ConditionalsBoundaryMutator,SURVIVED,no,high,5 min,
3371,org/apache/commons/imaging/palette/PaletteFactory.java,247,102,NegateConditionalsMutator,SURVIVED,no,high,1 min,
3374,org/apache/commons/imaging/palette/PaletteFactory.java,204,121,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
3386,org/apache/commons/imaging/palette/PaletteFactory.java,182,20,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
3391,org/apache/commons/imaging/palette/PaletteFactory.java,145,51,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
3484,org/apache/commons/imaging/palette/PaletteFactory.java,58,33,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
3728,org/apache/commons/imaging/formats/pcx/PcxImageParser.java,269,158,MathMutator,SURVIVED,no,high,1 min,
3961,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,1148,61,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,1 min,IndexOutOfBounds
4030,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,824,536,NegateConditionalsMutator,SURVIVED,no,high,1 min,
4034,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,832,574,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4069,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,898,932,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4074,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,900,950,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4102,org/apache/commons/imaging/formats/jpeg/JpegImageParser.java,936,1152,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4203,org/apache/commons/imaging/formats/tiff/TiffDirectory.java,612,10,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4235,org/apache/commons/imaging/formats/tiff/TiffDirectory.java,427,91,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
4703,org/apache/commons/imaging/common/BinaryFunctions.java,270,18,MathMutator,SURVIVED,no,high,1 min,
4779,org/apache/commons/imaging/common/BinaryFunctions.java,222,36,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
