Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
233,org/apache/commons/lang3/ArrayUtils.java,3442,13,ConditionalsBoundaryMutator,SURVIVED,yes,medium,2 min,similar to mutant 1341
370,org/apache/commons/lang3/ArrayUtils.java,8306,89,ConditionalsBoundaryMutator,SURVIVED,no,high,2 min,"since array, index are external to the function, can be unittested. When index==array.length it wiil throw an exception"
895,org/apache/commons/lang3/ArrayUtils.java,7409,106,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,"loop also executes also when diff==length, so this might show effect on output, I.e line number 7417. I can create an array with length zero."
957,org/apache/commons/lang3/ArrayUtils.java,7931,23,MathMutator,SURVIVED,no,low,10 min,"the size of indices array is increased which has no effect in this while loop, but during the computation of return value this mutation might effect"
1148,org/apache/commons/lang3/ArrayUtils.java,1626,35,ConditionalsBoundaryMutator,SURVIVED,yes,medium,15 min,"for j==i, then nothing gets swaped, because the positions are same."
1341,org/apache/commons/lang3/ArrayUtils.java,2912,38,ConditionalsBoundaryMutator,SURVIVED,yes,medium,10 min,"for both endIndexExclusive> and =  to array.length, then in the next line assigned to same value for both cases"
1347,org/apache/commons/lang3/ArrayUtils.java,2932,122,ConditionalsBoundaryMutator,SURVIVED,no,medium,10 min,startIndexInclusice is updated in line2934
1492,org/apache/commons/lang3/ArrayUtils.java,3165,81,ConditionalsBoundaryMutator,SURVIVED,no,medium,10 min,"Loop executes also when n==1,so the swap function in loop is executed"
1526,org/apache/commons/lang3/ArrayUtils.java,2672,38,ConditionalsBoundaryMutator,SURVIVED,yes,medium,10 min,similar to mutant 1341
1576,org/apache/commons/lang3/ArrayUtils.java,8634,7,VoidMethodCallMutator,NO_COVERAGE,no,high,2 min,method has some impl.
1600,org/apache/commons/lang3/ArrayUtils.java,8559,7,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,method has some impl.
1660,org/apache/commons/lang3/ArrayUtils.java,985,13,ConditionalsBoundaryMutator,SURVIVED,yes,medium,3 min,startIndexInclusice is external to the function but in next line it is updated with 0.
1866,org/apache/commons/lang3/ArrayUtils.java,2456,33,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,"when offset is <=0, it is assigned to zero in the next line"
1884,org/apache/commons/lang3/ArrayUtils.java,2113,11,ConditionalsBoundaryMutator,SURVIVED,no,high,2 min,In line 2122 len would be zero or negative. So it wouldn’t enter for loop. So itstands equivalent
1977,org/apache/commons/lang3/ArrayUtils.java,4755,47,ReturnValsMutator,SURVIVED,no,high,2 min,return value mutated
1979,org/apache/commons/lang3/ArrayUtils.java,4761,75,ReturnValsMutator,NO_COVERAGE,no,high,1 min,Return value mutated.
