Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
233,org/apache/commons/lang3/ArrayUtils.java,3442,13,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
370,org/apache/commons/lang3/ArrayUtils.java,8306,89,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,System.arraycopy with length 0
895,org/apache/commons/lang3/ArrayUtils.java,7409,106,ConditionalsBoundaryMutator,SURVIVED,yes,low,2 min,code shouldn't even reach that point for diff == length  bc Array.newInstance should throw an IllegalArgumentException  bc you try to instance an array of zero length
957,org/apache/commons/lang3/ArrayUtils.java,7931,23,MathMutator,SURVIVED,no,high,1 min,
1148,org/apache/commons/lang3/ArrayUtils.java,1626,35,ConditionalsBoundaryMutator,SURVIVED,yes,high,2 min,nothing changes if array element is assigned to itself
1341,org/apache/commons/lang3/ArrayUtils.java,2912,38,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
1347,org/apache/commons/lang3/ArrayUtils.java,2932,122,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
1492,org/apache/commons/lang3/ArrayUtils.java,3165,81,ConditionalsBoundaryMutator,SURVIVED,no,high,10 min,could encounter infinity loop!
1526,org/apache/commons/lang3/ArrayUtils.java,2672,38,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
1576,org/apache/commons/lang3/ArrayUtils.java,8634,7,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
1600,org/apache/commons/lang3/ArrayUtils.java,8559,7,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
1660,org/apache/commons/lang3/ArrayUtils.java,985,13,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
1866,org/apache/commons/lang3/ArrayUtils.java,2456,33,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
1884,org/apache/commons/lang3/ArrayUtils.java,2113,11,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,for loop will be skipped if boundaries are changed  so nothing nothing happens eventually
1977,org/apache/commons/lang3/ArrayUtils.java,4755,47,ReturnValsMutator,SURVIVED,no,high,1 min,
1979,org/apache/commons/lang3/ArrayUtils.java,4761,75,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
1981,org/apache/commons/lang3/ArrayUtils.java,4766,94,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
2137,org/apache/commons/lang3/StringUtils.java,7871,95,MathMutator,SURVIVED,no,high,1 min,
3118,org/apache/commons/lang3/StringUtils.java,2753,13,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,empty substring
3119,org/apache/commons/lang3/StringUtils.java,2756,24,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
3140,org/apache/commons/lang3/StringUtils.java,6545,79,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
3204,org/apache/commons/lang3/StringUtils.java,2824,13,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
3205,org/apache/commons/lang3/StringUtils.java,2824,17,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
3260,org/apache/commons/lang3/StringUtils.java,6063,37,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
3261,org/apache/commons/lang3/StringUtils.java,6066,46,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
3330,org/apache/commons/lang3/StringUtils.java,6323,4,ConditionalsBoundaryMutator,SURVIVED,yes,high,5 min,""""" equals new String(new char[0])"
3428,org/apache/commons/lang3/StringUtils.java,5877,243,MathMutator,SURVIVED,no,high,1 min,
3723,org/apache/commons/lang3/StringUtils.java,2717,59,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
4019,org/apache/commons/lang3/text/StrBuilder.java,640,15,NegateConditionalsMutator,SURVIVED,no,high,1 min,
4114,org/apache/commons/lang3/text/StrBuilder.java,1540,9,ReturnValsMutator,SURVIVED,no,high,1 min,
4288,org/apache/commons/lang3/text/StrBuilder.java,1890,42,ReturnValsMutator,SURVIVED,no,high,1 min,
4382,org/apache/commons/lang3/text/StrBuilder.java,2476,89,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
4607,org/apache/commons/lang3/text/StrBuilder.java,1980,40,ReturnValsMutator,SURVIVED,no,high,1 min,
4768,org/apache/commons/lang3/Conversion.java,453,85,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
4805,org/apache/commons/lang3/Conversion.java,465,232,MathMutator,SURVIVED,no,high,1 min,
4983,org/apache/commons/lang3/Conversion.java,921,27,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
5067,org/apache/commons/lang3/Conversion.java,755,29,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
5240,org/apache/commons/lang3/Conversion.java,853,21,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
5286,org/apache/commons/lang3/Conversion.java,1441,17,MathMutator,SURVIVED,no,high,1 min,
