Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
319,org/apache/commons/math3/util/FastMath.java,2580,216,MathMutator,SURVIVED,no,high,2 min,the mutation effect propogating to line 2610 and then to return value.
830,org/apache/commons/math3/util/FastMath.java,988,333,MathMutator,SURVIVED,yes,Low,15 min,"when functional execution reaches line 985,hiPrec array is not used in any return value or as an argument to a method"
853,org/apache/commons/math3/util/FastMath.java,1012,20,ConditionalsBoundaryMutator,SURVIVED,no,high,2 min,"since x is extrnal to the function, it is killable."
1935,org/apache/commons/math3/util/FastMath.java,3291,171,ReturnValsMutator,NO_COVERAGE,no,high,2 min,return value mutated.
2710,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,311,72,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,15 min,"the values are assigned at unintended position of the array, which can be also tracked when the setEntry method is called for the entry of data at particular index"
2835,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1087,3472,ConditionalsBoundaryMutator,SURVIVED,no,medium ,5 min,similar to mutant 4398
3063,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,797,1977,MathMutator,SURVIVED,yes,low,15 min,
3368,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1180,3765,VoidMethodCallMutator,SURVIVED,no,high,1 min,
3552,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1750,880,VoidMethodCallMutator,NO_COVERAGE,no,high,2 min,method has some impl
3553,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1751,888,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,method has some impl
3611,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,2093,1118,ConditionalsBoundaryMutator,SURVIVED,no,low,15 min,"tempa,tempb are calculated by calling external functions."
3639,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1973,616,IncrementsMutator,SURVIVED,no,medium ,25 min,"It effects loop in line 2018, and state gets updated with unintended value, so for the next iteration the state value is printed(through printState()) for each particular case and one can observe the change in output "
3840,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1954,530,NegateConditionalsMutator,SURVIVED,no,low,15 min,"Due to mutation the loop may not execute, if possible we can set a counter in the external method whenever it is called from line 1956 or 1958 or 1960. "
4034,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1420,761,ConditionalsBoundaryMutator,SURVIVED,no,medium ,5 min,"when equal in the next line presav is assigned to predsq, but in further lines variables are updated which is not intended when =, this effect might propogate to the next for loop in line 1431,1432 to external setEntry."
4050,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1532,1354,ConditionalsBoundaryMutator,SURVIVED,yes,low,20 min,"When =,scale is 1."
4398,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1092,3472,ConditionalsBoundaryMutator,SURVIVED,no,medium ,15 min,"When =, the var ‘itest’ is assigned to zero, which can lead to not statisfy the next if loop in line 1095, which has some functionanlity perfroming to external functions."
5102,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1722,625,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
5121,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,2405,60,ConditionalsBoundaryMutator,SURVIVED,no,medium ,15 min,
5135,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,2429,177,MathMutator,SURVIVED,no,high,3 min,
5290,org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,2111,1173,MathMutator,SURVIVED,yes,Low,15 min,
6777,org/apache/commons/math3/linear/BlockRealMatrix.java,336,151,ReturnValsMutator,NO_COVERAGE,no,high,1 min,returns null.
7607,org/apache/commons/math3/linear/BlockRealMatrix.java,1540,8,VoidMethodCallMutator,SURVIVED,no,high,1 min,method has some impl
7776,org/apache/commons/math3/linear/BlockFieldMatrix.java,337,69,MathMutator,NO_COVERAGE,yes,low,15 min,
7854,org/apache/commons/math3/linear/BlockFieldMatrix.java,1118,27,MathMutator,SURVIVED,no,high,2 min,"It effects the size of array in line 1123, and propogates to 1125"
7975,org/apache/commons/math3/linear/BlockFieldMatrix.java,1011,26,MathMutator,SURVIVED,no,high,5 min,it effects line 1016
8104,org/apache/commons/math3/linear/BlockFieldMatrix.java,545,227,IncrementsMutator,NO_COVERAGE,no,Low,15 min,"For each iteration the blockIndex is incremented, which effects line 520,538"
8999,org/apache/commons/math3/geometry/euclidean/threed/Rotation.java,946,1254,ConditionalsBoundaryMutator,SURVIVED,no,medium ,10 min,If condition values are calculated by calling external functions
10514,org/apache/commons/math3/stat/regression/MillerUpdatingRegression.java,1027,137,ConditionalsBoundaryMutator,SURVIVED,yes,high,5 min,"Length – 0, stands equivalent."
10673,org/apache/commons/math3/stat/regression/MillerUpdatingRegression.java,734,170,ConditionalsBoundaryMutator,SURVIVED,yes,low,30 min,
11441,org/apache/commons/math3/stat/inference/KolmogorovSmirnovTest.java,518,29,NegateConditionalsMutator,SURVIVED,no,high,5 min,since all the variable in the if condition can be calculated external to the function.
11455,org/apache/commons/math3/stat/inference/KolmogorovSmirnovTest.java,537,135,ReturnValsMutator,SURVIVED,no,high,1 min,return value mutated.
11488,org/apache/commons/math3/stat/inference/KolmogorovSmirnovTest.java,796,222,MathMutator,NO_COVERAGE,no,high,5 min,"values might get assigned at unintended position of array, and this propogates upto the return value of the fucntion."
12061,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer.java,618,263,MathMutator,SURVIVED,no,medium ,1 min,variable damps is external to the function.
12299,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer.java,686,84,NegateConditionalsMutator,SURVIVED,no,high,1 min,since all the variable in the if condition are external to the function
12436,org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,615,622,NegateConditionalsMutator,NO_COVERAGE,no,medium ,15 min,"!= to ==, here last result is updated when ==null, reflects to line 511"
12743,org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,777,48,MathMutator,SURVIVED,no,high,1 min,
13271,org/apache/commons/math3/ode/nonstiff/GraggBulirschStoerIntegrator.java,730,803,ConditionalsBoundaryMutator,SURVIVED,no,medium ,15 min,"When <= loop is iterated one more extra time, unintended value gets assigned to hNew variable. For each iteration in do while loop the change can be observed throught line 646 which is assigned to external variable"
14407,org/apache/commons/math3/linear/AbstractFieldMatrix.java,804,75,ReturnValsMutator,SURVIVED,no,high,3 min,return value mutated.
15234,org/apache/commons/math3/linear/AbstractRealMatrix.java,808,36,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,1 min,one can track how many times the method has been called.
15552,org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,493,936,NegateConditionalsMutator,SURVIVED,no,high,2 min,NP exception
16036,org/apache/commons/math3/special/BesselJ.java,274,70,ConditionalsBoundaryMutator,SURVIVED,no,low,15 min,effect might propogate to return value
17556,org/apache/commons/math3/stat/regression/SimpleRegression.java,866,382,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return value mutated.
