Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
319,org/apache/commons/math3/util/FastMath.java,2580,216,MathMutator,SURVIVED,no,medium,1 min,
830,org/apache/commons/math3/util/FastMath.java,988,333,MathMutator,SURVIVED,no,high,1 min,
853,org/apache/commons/math3/util/FastMath.java,1012,20,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
1935,org/apache/commons/math3/util/FastMath.java,3291,171,ReturnValsMutator,NO_COVERAGE,no,high,1 min,sign
2710,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,311,72,ConditionalsBoundaryMutator,NO_COVERAGE,no,medium,1 min,
2835,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1087,3472,ConditionalsBoundaryMutator,SURVIVED,no,medium,1 min,
3063,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,797,1977,MathMutator,SURVIVED,no,high,1 min,
3368,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1180,3765,VoidMethodCallMutator,SURVIVED,yes,high,1 min,method currently does nothing!
3552,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1750,880,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,setter
3553,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1751,888,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,setter
3611,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,2093,1118,ConditionalsBoundaryMutator,SURVIVED,no,medium,1 min,
3639,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1973,616,IncrementsMutator,SURVIVED,no,high,1 min,
3840,org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1954,530,NegateConditionalsMutator,SURVIVED,no,high,1 min,
