Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
35,org/apache/commons/net/ftp/FTPClient.java,970,37,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,I can observe changes from external variables inside loop
44,org/apache/commons/net/ftp/FTPClient.java,864,166,ConditionalsBoundaryMutator,NO_COVERAGE,no,high,3 min,"When =0, next line 865 throws exception"
67,org/apache/commons/net/ftp/FTPClient.java,891,248,NegateConditionalsMutator,NO_COVERAGE,no,high,15 min,
126,org/apache/commons/net/ftp/FTPClient.java,1982,11,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
153,org/apache/commons/net/ftp/FTPClient.java,1167,7,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return value mutated
155,org/apache/commons/net/ftp/FTPClient.java,2679,7,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return value mutated
176,org/apache/commons/net/ftp/FTPClient.java,2319,38,ReturnValsMutator,NO_COVERAGE,no,high,1 min,throws an exception
184,org/apache/commons/net/ftp/FTPClient.java,1406,10,NegateConditionalsMutator,NO_COVERAGE,no,high,3 min,
200,org/apache/commons/net/ftp/FTPClient.java,3749,6,MathMutator,NO_COVERAGE,no,high,1 min,returns unexpected return value
211,org/apache/commons/net/ftp/FTPClient.java,3467,36,ReturnValsMutator,NO_COVERAGE,no,high,2 min,
274,org/apache/commons/net/ftp/FTPClient.java,3445,33,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,method has some impl
311,org/apache/commons/net/ftp/FTPClient.java,1131,63,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return value mutated
317,org/apache/commons/net/ftp/FTPClient.java,3558,27,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,method has some impl
376,org/apache/commons/net/ftp/FTPClient.java,1563,21,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
449,org/apache/commons/net/util/Base64.java,577,246,MathMutator,NO_COVERAGE,no,high,2 min,
520,org/apache/commons/net/util/Base64.java,496,327,MathMutator,SURVIVED,no,high,2 min,Buffer is assigned with unexpected value
531,org/apache/commons/net/util/Base64.java,503,432,MathMutator,NO_COVERAGE,no,high,5 min,
615,org/apache/commons/net/util/Base64.java,389,5,NegateConditionalsMutator,SURVIVED,no,high,5 min,since buffer is external to the function
617,org/apache/commons/net/util/Base64.java,394,43,NegateConditionalsMutator,SURVIVED,no,high,5 min,
626,org/apache/commons/net/util/Base64.java,421,8,NegateConditionalsMutator,SURVIVED,no,high,1 min,
789,org/apache/commons/net/telnet/Telnet.java,801,12,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
887,org/apache/commons/net/nntp/NNTPClient.java,232,44,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
1072,org/apache/commons/net/nntp/NNTPClient.java,751,7,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
1102,examples/ftp/FTPClientExample.java,326,1069,ConditionalsBoundaryMutator,NO_COVERAGE,no,low,5 min,
1135,examples/ftp/FTPClientExample.java,139,253,NegateConditionalsMutator,NO_COVERAGE,no,medium,5 min,it effects line 390
1174,examples/ftp/FTPClientExample.java,291,959,NegateConditionalsMutator,NO_COVERAGE,no,medium,10 min,
1426,org/apache/commons/net/ftp/FTP.java,370,158,NegateConditionalsMutator,NO_COVERAGE,no,high,15 min,changes can  be observed externall to the function
1462,org/apache/commons/net/ftp/FTP.java,849,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
1574,org/apache/commons/net/telnet/TelnetInputStream.java,128,12,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
1666,org/apache/commons/net/ftp/FTPSClient.java,219,5,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,negated isImplicit also call execAuth() method.
1672,org/apache/commons/net/ftp/FTPSClient.java,607,8,ReturnValsMutator,NO_COVERAGE,no,high,2 min,returns null
1715,org/apache/commons/net/ftp/FTPSClient.java,521,4,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
1740,org/apache/commons/net/ftp/FTPSClient.java,362,6,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,
1761,org/apache/commons/net/ftp/FTPSClient.java,571,18,NegateConditionalsMutator,NO_COVERAGE,no,high,2 min,
1808,org/apache/commons/net/pop3/POP3Client.java,418,33,MathMutator,NO_COVERAGE,no,high,3 min,"it effects the size of array, can be observed with the return value"
1829,org/apache/commons/net/pop3/POP3Client.java,486,26,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
